candidate,input,n,spearman_tokens,spearman_tokens_ci90,spearman_model_secs,top3_precision,top3_recall,rework_auc,rework_n,rework_auc_intrinsic,rework_auc_by_heavy,intrinsic_n,rework_auc_sample_only,calls,mean_input_tokens,mean_output_tokens,mean_cost_usd,median_wall_secs,spearman_size_tokens,L_precision,L_recall,L_count
rules,a,65,0.281,"[0.08, 0.47]",0.314,0.476,0.476,0.515,31/90,0.509,0.515,18/77,0.486,0,0,0,0,0,,,,
rules,b,65,0.313,"[0.11, 0.5]",0.343,0.571,0.571,0.535,31/90,0.54,0.519,18/77,0.463,0,0,0,0,0,,,,
rules-loo,a,65,0.674,"[0.54, 0.77]",0.664,0.714,0.714,,,,,,,,,,,,,,,
rules-loo,b,65,0.705,"[0.58, 0.79]",0.708,0.714,0.714,,,,,,,,,,,,,,,
haiku,a,65,0.677,"[0.52, 0.79]",0.662,0.743,0.743,0.622,31/90,0.646,0.583,18/77,0.588,90,2981,3858,0.0223,39.8,0.64,0.75,0.714,20
haiku,b,65,0.657,"[0.5, 0.77]",0.64,0.714,0.714,0.542,31/90,0.568,0.554,18/77,0.517,90,3824,3967,0.0249,41.1,0.665,0.708,0.81,24
sonnet,a,65,0.793,"[0.69, 0.87]",0.76,0.816,0.816,0.605,31/90,0.627,0.602,18/77,0.451,90,3622,365,0.0181,6.2,0.739,0.568,1.0,37
sonnet,b,65,0.859,"[0.78, 0.91]",0.838,0.823,0.823,0.647,31/90,0.642,0.675,18/77,0.514,90,4757,505,0.0236,9.2,0.807,0.636,1.0,33
opus-low,a,65,0.869,"[0.79, 0.92]",0.85,0.83,0.83,0.688,31/90,0.677,0.66,18/77,0.583,90,3559,182,0.0321,5.1,0.773,0.538,1.0,39
opus-low,b,65,0.874,"[0.79, 0.93]",0.856,0.818,0.818,0.663,31/90,0.639,0.659,18/77,0.521,90,4694,192,0.0408,5.2,0.77,0.568,1.0,37
opus-high,a,65,0.886,"[0.82, 0.93]",0.872,0.844,0.844,0.677,31/90,0.679,0.65,18/77,0.6,90,3559,299,0.0344,6.5,0.796,0.583,1.0,36
opus-high,b,65,0.913,"[0.86, 0.94]",0.89,0.905,0.905,0.628,31/90,0.598,0.652,18/77,0.489,90,4694,322,0.0434,6.5,0.792,0.568,1.0,37
